text_id,text
text_359,"Але всі ці будинки стоять на своїх місцях , як їм і належиться ."
text_360,"А наш будинок — схожий на марево , яке от-от розвіється ."
text_361,"На хитрий магічний трюк , який несила розгадати ."
text_362,"Будинок має таємницю , про яку перехожі навіть не здогадуються ."
text_363,"Позаду комина , з протилежного боку від вулиці , надійно захована за кронами лип , сидить кам’яна жінка , вирізьблена зі світлого пісковику , в якому при певній погоді ( коли сонце не надто яскраве ) починає рум’янитись рожевий відтінок — ніби під шкірою пульсує кров ."
text_364,Погляд жінки звернений до неба .
text_365,Руки — простягнуті вперед в очікуванні чи проханні .
text_366,Волосся — розвіяне і непокірне .
text_367,"А потилиця і верхня частина спини — порожнисті : такий був той камінь , з якого Петро зробив її ."
text_368,"Сам він називає її « жінкою-глеком » , і спостерігає за нею знизу , з нашого салону , крізь скляну стелю , ще одну його примху ."
text_369,"Частина стелі в салоні — із кольорового скла . Петро каже , це карта зоряного неба : усі відтінки синього , розмежовані мідними перетинками , золотисті та прозорі скельця між ними , які вкладаються в сузір’я ."
text_370,Є полум’яна комета з хвостом .
text_371,"Є планети — теж блакитні та фіолетові , майже чорні , і червона , і плямисто-брунатна , і золота ."
text_372,"Крізь це скло світить сонце , розсіваючи по нашому модерному салону , по меблях з кольоровим лакуванням чудернацькі плями ."
text_373,"Бліде сяйво місяця робить картину геть примарною . Петро каже , що почав думати про це під час свого навчання у Відні — ним завдячував батькові , який перед смертю продав клапоть землі в селі Пасічній , де тепер проходить залізнична колія ."
text_374,"Те , у чому ми живемо , — будівлі , одяг , меблі , посуд , може не тільки служити нашим потребам ."
text_375,"Водночас вони не конче мусять бути такі дорогі і прекрасні , що перед ними малієш і скручуєшся , як опалий лист ."
text_376,"Усі ці предмети здатні бути продовженням думок і почуттів , розмовою , запитанням , твоєю власною відповіддю ."
text_377,Але найкраще — їхня необов’язковість .
text_378,"Адже зовнішнє буяння все одно зводиться до однієї-єдиної точки , якою ти є ."
text_379,"Точки , що тяжіє до порожнечі ."
text_380,"З того пункту вулиці , де я стою , наша вілла схожа на скрученого кільцями змія з десятком лукавих голів ."
text_381,"Кахлі виблискують в денному світлі , як луска з коштовного каміння ."
text_382,Сам Петро називає віллу « підводним палацом » .
text_383,"Каже , що візерунки — то морські течії і стеблини водоростей , а пащі вікон — голови риб та глибоководних створінь , які нас охороняють ."
text_384,"Каже , що мріяв стати мандрівником-мореплавцем , але так насправді й не певен , чи те море існує , чи то не байки ."
text_385,"У такому разі , кажу я , це не підводний палац , а затонулий корабель ."
text_386,"Але й справді — мінячись та виблискуючи на сонці , розчиняючись у сутінках , в осінньому тумані , ранковій імлі чи мжичці , — наш будинок погойдується і ніби тече ."
text_387,"Це основне і найглибше враження : він кудись рухається , не стоїть на місці , не вростає в землю , як стається з усіма нормальними будівлями , що підкоряються земним законам ."
text_388,"Погойдується в такт із вітром , гілками бузку і лип , звивається , танцює ."
text_389,"Здається , зараз розчиниться у повітрі ."
text_390,"Тепер ще тут , а за мить — зникне безслідно . Отак розмірковуючи та смакуючи кавою , Аліна сиділа в кафе ."
text_391,"Аж раптом відчула на своїй спині чийсь чіпкий , наче реп'ях , погляд ."
text_392,"Вона завжди досить чітко реагувала на такі речі , безпомилково могла визначити — добра чи лиха вдача у власника погляду ."
text_393,Називала це доволі просто — інтуїцією .
text_394,Тато частенько брав на кпини такі метикування доньки .
text_395,"Однак мама одного разу досить серйозно сказала таткові : « Нічого смішного , Василечку !"
text_396,Ви це називаєте чоловічою логікою .
text_397,А в жінок — інтуїція » . Аліна озирнулася .
text_398,"У кафе , крім неї та парочки закоханих студентів , які бачили лише одне одного , нікого не було . « Здалося » , — подумала дівчина ."
text_399,"Спробувала наново зануритися в читання , однак слова чомусь розліталися , не складались у речення й безладно блукали ."
text_400,Це дратувало .
text_401,"Травневий ранок , який так гоже розпочався , перетворювався на суцільне непорозуміння . Аліна різко розвернулася , і знову — нікого ."
text_402,За п'ять секунд картина не змінилася .
text_403,Відтак дівчина зрозуміла — приємному ранку гаплик .
text_404,"Ні , параноїком вона себе не вважала ."
text_405,Швидше за все реалістом .
text_406,Почала читати рано — у чотири роки .
text_407,"Коли в шість тато застав її у своєму кабінеті за читанням Мопассана , то не надто здивувався ."
text_408,"Лишень від гріха подалі заховав на найвищі полиці « неблагонадійні » , на його думку , книги ."
text_409,Однак Аліна була хитрою .
text_410,"Вона , наче прудка мавпочка , все-таки потрафила видряпуватися на вищі полиці ."
text_411,А з роками — на найвищі .
text_412,"Брала книжку , ретельно замаскувавши своє « втручання » , і , прочитавши , повертала назад ."
text_413,Тато ніжно називає доньку буквогризуном .
text_414,"Звісно , крім гарної серйозної літератури , у квартирі знайшлося місце і для жіночих романів ."
text_415,"Вони стосами лежали в спальні батьків , мамин пунктик . Аліні було бридко їх навіть до рук брати ."
text_416,Вона не розуміла мами .
text_417,Як така розумна жінка може захоплюватися таким чтивом !
text_418,"Коли дівчині виповнилося п'ятнадцять , мама майже силоміць примусила почитати її найулюбленіший жіночий роман — « Віднесені вітром » Маргарет Мітчелл ."
text_419,"Про нього не чув хіба що глухий . Аліні книжка не пішла , м'яко кажучи ."
text_420,"На десятій сторінці дівчині стало нудно , на двадцятій вона зненавиділа всіх панянок з ім'ям Скарлет , а на тридцятій її фізично вирвало просто на книгу ."
text_421,"Ой , що було !"
text_422,"Батько вважав , що це мамина вина ."
text_423,"Колись Алінка відчує потребу і в таких романах , а поки що не треба силувати ."
text_424,"Будь ласка , Ірино , не втручайся і не вказуй , що читати і коли ."
text_425,Однак мама відбила напад :
text_426,"— Коли люди починають тренувати тіло , Василю , розпочинають із меншого , щоб не надірватися ."
text_427,"Це ти винен , перестарався ."
text_428,"До Вольтера вона , бач , доросла , а до нормальних книг — ні ?"
text_429,"— Що ви називаєте нормальними книгами , а що — ні , шановна ?"
text_430,"Ми ж говоримо про душу , — не вгавав тато , — а не про біцепси ."
text_431,"Хай сама вирішує , що і як читати ."
text_432,Тобі ж ніхто не вказував ?
text_433,"— Ти знаєш , що мені не було кому радити , — відбивалася мама . — Тому й читала все підряд ."
text_434,Слово за словом — от і сварка .
text_435,Батьки не розмовляли тиждень .
text_436,"Звісно , тато першим пішов на перемир'я ."
text_437,"Після цього , правда , мама більше на радила їй , що читати . Аліна рвучко підвелася з-за столу , сердито закинула книгу у свій наплічник , розрахувалася за каву і вистрибнула на всіяну сонцем вулицю ."
text_438,"Дівчина вийшла на Студентську алею й закрокувала нею , мружачись від сонця ."
text_439,"Якийсь момент здавалося , що все гаразд , ніякого дискомфорту ."
text_440,"Однак через пару хвилин тривожне передчуття , ніби за нею хтось шпигує , повернулося ."
text_441,Вирішила не зупинятися й не озиратися .
text_442,До дідька .
text_443,Хай буде як є .
text_444,Маніяки не нападають серед білого дня в центрі міста .
text_445,Вирішила йти на пари .
text_446,На другу й третю встигає .
text_447,Приклеєний до спини погляд допровадив Аліну до дверей Академії .
text_448,Врешті цікавість перемогла й вона озирнулася .
text_449,Погляд сполохано вдарився об темні скельця окулярів незнайомця .
text_450,"Юнак , вдягнений у все чорне , стояв за кілька метрів від неї , підпираючи плечем стовбур акації ."
text_451,"Дерево сипало на його чорне волосся , котре сягало рамен , сніжні пелюстки . Аліні здалося , що хлопець дивиться на неї ."
text_452,"Хоча , можливо , це домалювала її уява , бо юнак вправно ховав очі за темними скельцями окулярів ."
text_453,"Про всяк випадок , сердито змірявши незнайомця поглядом , дівчина сховалась за дверима ."
text_454,"Пари пройшли , як завжди , конструктивно ."
text_455,Цього разу в гарячих дебатах на лекціях з історії мистецтва .
text_456,"Мала вона звичку чіплятися до викладачів , доводячи їх у кращому випадку до появи рясної роси на чолі та бордового обличчя , а в гіршому — до таблеток валідолу ."
text_457,"Сьогодні Аліна погоджувалася з твердженням пана професора ( а чому тільки сьогодні — майже завжди ! ) , що Фройд на творчість Далі мав більший вплив , ніж його Ґала . « Тільки чоловік може мислити так однобоко , навіть коли він майже академік » , — бурмотіла собі під ніс Аліна ."
text_458,Після лекцій так приємно вийти на вулицю із затісних для просторої думки художника стін Академії !
text_459,Ранкові перестороги минулися .
text_460,"День прекрасний , настрій кайфовий , а незнайомець у темних окулярах видавався не таким уже реальним ."
text_461,"Очевидно , нафантазувала зайвого . Аліна весело крокувала майже літньою вулицею ."
text_462,Біля кінотеатру в Стрийському парку зупинилася .
text_463,Вдало оформлена афіша притягувала погляд .
text_464,"Може , сходити до кіна ?"
text_465,Тривалість сеансу — дві з половиною години .
text_466,Але ж це « Троя » ?
text_467,Цікаво подивитися на мазунчика Бреда Піта в ролі Ахіллеса ?
text_468,Лише п'ята година .
text_469,"До восьмої закінчиться , а це ще фактично день ."
text_470,Телевізор Аліна майже не дивилася .
text_471,Її дратував навіть сам вигляд цього технічного пристрою .
text_472,"Оскільки вона мала свій власний погляд на всі речі , то думка інших , у штучному відтворенні того , що хотів сказати автор казки чи книжки , її не цікавила , подекуди навіть нервувала ."
text_473,А що казати про світ політики та розважальний жанр для мас — суцільний острів Невезіння чи Країна Дурнів .
text_474,"Пхе ! Найнезабутніше в цей період — знайомство , яке переросло в міцну дружбу із Сергієм Мержинським , котрий , як і Леся , приїхав до Ялти на лікування ."
text_475,"Це йому , Мержинському , присвячено вірш « Порвалася нескінчена розмова » ."
text_476,"Це з ним — коханим здійснила Леся незабутню подорож на Ай-Петрі , де на скелі помітила ніжну квітку — едельвейс , яка пробила каміння , рвучись до сонця ."
text_477,Назвала цю квітку « Ломикамінь » .
text_478,"І так нагадувала її й сама Леся , котра взяла для власного літературного псевдоніма ім’я своєї матері-України . Поетеса , що високу , ніжну і мужню Поезію творила упослідженою тоді мовою рідного народу і крізь жорстокості життя , часом , « без надії сподіваючись » , пробивалася до людей яскравою квіткою надії на те , що її страдницька Україна стане вільною і незалежною державою , що її рідна мова відродиться , проб’ється , як квітка-ломикамінь , крізь морок численних принижень і заборон , бо за народним повір’ям — приносить щастя . Ялта — одне із небагатьох міст , куди поетеса поверталася неодноразово ."
text_479,"Вона навіть планувала поселитися тут назовсім , коли вийшла заміж за Климента Квітку ."
text_480,"Та від цих планів змушена була відмовитися , оскільки лікарі вважали , що клімат півострова їй не підходить , тож жити потрібно в тепліших краях ."
text_481,"В 1907 р . поетеса знову повертається в Крим , щоб лікувати свого друга Климента Квітку ."
text_482,Невдовзі він стане її чоловіком . Климент був молодшим за Лесю на 9 років .
text_483,"Повідомлення про її заміжжя стало для близьких несподіванкою , вони вважали , що з її боку великого кохання там не було ."
text_484,"Хоча визнавали : Квітка боготворив Лесю . « Діло закінчено — ми обвінчалися , — пише поетеса рідним . — … Сподіваюсь , хоч тепер матимемо спокій від людей … все добре , ніхто нас нічим не мучить , і ми збираємося в Крим » ."
text_485,В одному з листів Леся відзначила : « Нам з Кленею так добре » .
text_486,"Коли вона вийшла заміж за Квітку , їй вже було 37 років ."
text_487,"Можливо , й не було там шаленої пристрасті , але поетеса відчувала потребу мати поруч вірного друга . Квітка був поруч завжди , коли їй було кепсько ."
text_488,"Вони добре розуміли один одного , їх об’єднувало щось глибоке , духовне . Леся вважала , що кохання — це , насамперед , самопожертва ."
text_489,"Вона фактично врятувала чоловіка , наполігши терміново їхати в Крим . Климент був у критичному стані , бо теж хворів на сухоти ."
text_490,М’який клімат і активне лікування допомогли .
text_491,"Подружжя обрало Ялту для тривалого проживання , бо тут вони не відчували себе відірваними від всієї української культури ."
text_492,"Тоді тут відпочивали , жили і творили їхні приятелі поети Амвросій Метлинський і Степан Руданський , Христя Алчевська і Дніпрова Чайка , Михайло Коцюбинський і Микола Чернявський , Агатангел Кримський і Олександр Олесь , родина друзів Охріменків …"
text_493,"В Ялті з 1904 до 1918 року існував Український театр з хорошою трупою й мав багато шанувальників , бо й тоді в Криму жило чимало українців . Юрист Квітка працював у суді , чудово грав на роялі , прекрасно знав музику ."
text_494,Завдяки йому ми маємо автентичні записи народних дум .
text_495,"Протягом подружнього життя Климент Квітка записав пісні , які Леся любила з дитинства ."
text_496,"А після її смерті 1917 року видав фотоскопічним способом двотомник « Мелодії з голосу Лесі Українки » ( він теж є одним із раритетів Лесиного музею в Ялті ) . Климент Васильович дожив до 1953 року , пережив дружину на 40 років …"
text_497,"… У Ялті , поруч із набережною , по вулиці Літкенса , 8 , перед будинком , у якому жила поетеса і в якому нині її музей з понад 100 тисячами експонатів , встановлено пам’ятник вічно юній Лесі Українці ."
text_498,"Ніби стомившись , вона присіла на камінь , щоб помилуватися морем ."
text_499,"Тут завжди — люди , квіти , вірші ."
text_500,"Незгасна зоря високої поезії нескореної Лесі Українки постійно будитиме в душах усіх поколінь наших співвітчизників і читачів усього світу істинну любов , снагу до пізнання краси життя , мужності й незламності , творчості й мудрості … Зведена податкова накладна : коли слід складати"
text_501,"Згідно із загальними правилами , встановленими статтею 201 Податкового кодексу України , податкова накладна складається на кожне повне або часткове постачання товарів чи послуг , а також на суму авансів безпосередньо у день виникнення податкових зобов’язань продавця ."
text_502,"Разом з тим , Кодексом передбачено ряд випадків , які обумовлюють оформлення зведеної податкової накладної ."
text_503,"По-перше , це стосується платників , які здійснюють постачання товарів чи послуг одному покупцю два та більше разів на місяць ( тобто , постачання має ритмічний характер ) ."
text_504,"Якщо покупці зареєстровані платниками ПДВ , то зведені податкові накладні складаються окремо на кожного покупця , з урахуванням загального обсягу постачання такому покупцю протягом місяця , у термін не пізніше останнього дня місяця , в якому було здійснено такі постачання ."
text_505,"Якщо ж постачання відбувалося особам , не зареєстрованим платниками ПДВ , то не пізніше останнього дня місяця , в якому були здійснені такі постачання , складається загальна зведена податкова накладна , з урахуванням всього обсягу постачання товарів чи послуг усім таким покупцям – неплатникам ПДВ протягом звітного місяця ."
text_506,"Другий випадок складання зведеної податкової накладної передбачено нормами пункту 199.1 статті 199 Податкового кодексу , якими встановлено , що у разі , якщо придбані або виготовлені товари чи послуги , необоротні активи частково використовуються в оподатковуваних операціях , а частково – ні , платник податку зобов’язаний нарахувати ПДВ та скласти не пізніше останнього дня звітного ( податкового ) періоду і зареєструвати зведену податкову накладну в Єдиному реєстрі податкових накладних на загальну суму частки сплаченого ( нарахованого ) податку під час їх придбання або виготовлення , яка відповідає частці використання таких товарів / послуг , необоротних активів в неоподатковуваних операціях ."
text_507,"По-третє , згідно з пунктом 198.5 статті 198 Податкового кодексу , платник податку зобов’язаний нарахувати ПДВ , скласти не пізніше останнього дня звітного ( податкового ) періоду і зареєструвати в ЄРПН зведену податкову накладну за товарами чи послугами , необоротними активами у разі , якщо придбані активи призначаються або починають використовуватися в операціях , що не є господарською діяльністю платника , чи в операціях , звільнених від ПДВ ."
text_508,"Якщо ж у зазначених операціях використовуються активи , що були придбані або виготовлені до 1 липня 2015 року , – то ПДВ нараховується у разі , якщо під час такого придбання або виготовлення суми податку були включені до складу податкового кредиту ."
text_509,Деклараційна кампанія : про застосування ставок податку на доходи фізичних осіб
text_510,Деклараційна кампанія – 2016 стартувала з 1 січня і триватиме до 1 травня поточного року ( враховуючи вихідні дні – 3 травня ) .
text_511,"Громадяни – декларанти подають , за результатами отриманих доходів протягом 2015 року , декларацію про майновий стан та доходи за новою формою , затвердженою наказом Міністерства фінансів України від 2 жовтня 2015 року за № 859 ."
text_512,"Слід врахувати , що до доходів , отриманих протягом минулого року , застосовується ставка податку на доходи фізичних осіб :"
text_513,"- 15 % бази оподаткування – щодо доходів ( крім випадків , визначених у п . п ."
text_514,167.2 – 167.6 ст .
text_515,"167 ПКУ ) , які не перевищують десятикратний розмір мінімальної заробітної плати , встановленої законом на 1 січня звітного податкового року ;"
text_516,"- 20 % , – якщо база оподаткування в календарному місяці перевищує десятикратний розмір мінімальної заробітної плати , – до суми такого перевищення ."
text_517,"Самозайняті особи застосовують ставку 20 % до частини середньомісячного річного оподатковуваного доходу , що перевищує десятикратний розмір мінімальної заробітної плати ;"
text_518,"- подвійна ставка податку ( 30 % ) – до доходів , нарахованих як виграш чи приз ( крім виграшів , призів у лотерею , грошові виграші у спортивних змаганнях ) на користь резидентів або нерезидентів ;"
text_519,"- 20 % – для пасивних доходів , у тому числі нарахованих у вигляді дивідендів за акціями та / або інвестиційними сертифікатами , що виплачуються інститутами спільного інвестування ( крім зазначених у п . п ."
text_520,167.5.2 п .
text_521,167.5 ст .
text_522,167 ПКУ ) .
text_523,Перелік пасивних доходів визначено п . п .
text_524,167.5.3 п . 167.5 ст .
text_525,"167 ПКУ , до яких , зокрема , відноситься інвестиційний прибуток , включаючи прибуток від операцій з облігаціями внутрішніх державних позик , у тому числі від зміни курсу іноземної валюти ;"
text_526,"- 5 та 0 % бази оподаткування у випадках , прямо визначених розділом IV ПКУ , зокрема при операціях з успадкування ( дарування ) та операціях з продажу ( обміну ) об’єктів нерухомого майна ."
text_527,"При декларуванні доходів за результатами 2015 року платникам податків слід враховувати , що розмір мінімальної заробітної плати , встановленої законом на 1 січня звітного податкового року , становить 1218 гривень . Новій київській владі доводиться працювати в доволі непростих умовах ."
text_528,"Адже , окрім вже звичних для міста проблем та весняних приготувань , посадовці зіткнулися з цілою низкою викликів , які диктує ситуація в країні ."
text_529,Зокрема Києву доведеться « затягнути тугіше паски » та жити в умовах тотальної економії бюджетних коштів .
text_530,Розвивати столицю міська влада в таких умовах планує за кошти інвесторів .
text_531,"Та навіть в цій ситуації Київ готовий простягнути руку допомоги тим , хто цього потребує найбільше : у місті вже створений та функціонує координаційний центр допомоги біженцям з Криму ."
text_532,"Цей рік Києву , як і всій країні , доведеться жити та працювати в надскладних фінансових умовах ."
text_533,Адже необхідність військової мобілізації та виділення додаткових коштів на утримання армії при й так дефіцитному бюджеті міста на поточний рік змушує посадовців відмовлятися від реалізації непріоритетних програм та шукати нові шляхи залучення коштів .
text_534,Про це вчора під час брифінгу повідомив голова КМДА Володимир Бондаренко .
text_535,"« У Києві сьогодні накопичилася надзвичайно велика кількість проблем , але є надія , що вони будуть вирішені ."
text_536,"Ми їх всі бачимо , відчуваємо ."
text_537,"І наше завдання — не просто на словах бути патріотами Києва , а стати захисниками всіх міських інтересів , в тому числі економічних » , — зазначив Володимир Бондаренко та додав , що наразі місто намагається віднайти додаткові кошти для забезпечення першочергових для функціонування столиці питань ."
text_538,"Адже бюджет Києва на поточний рік прийнятий з дефіцитом у 2,8 млрд грн ."
text_539,"Зокрема столиця вже припинила фінансування всіх об’єктів , що стосуються Євробаскету-2015 , та , аби вирішити нагальні проблеми , починає роботи з повернення на київський ринок інвесторів ."
text_540,"Перший здобуток на цій ниві вже є — японські партнери пропонують цікавий проект з реконструкції Бортницької станції аерації , яка вже багато років є своєрідною « екологічною бомбою » для міста й потребує суттєвого оновлення ."
text_541,"За словами пана Бондаренка , Японія пропонує Києву кредит на унікальних умовах — на 40 років під 0,1 % річних ."
text_542,"Загальна сума позики — 10 млрд грн , а розпочати реалізовувати проект можуть вже цього року ."
text_543,А от вітчизняних інвесторів міська влада закликає долучатися до реконструкції центру столиці .
text_544,"Як відзначив Володимир Бондаренко , поки в міста та архітекторів ще не має єдиного бачення , як має виглядати комплексне оновлення середмістя Києва ."
text_545,Однак деякі пропозиції вже відомі широкому загалу .
text_546,"Так , острівки понівеченої бруківки планують замінити на покриття іншого кольору , а на Майдані Незалежності має з’явитися пам’ятник героям Небесної Сотні ."
text_547,"Всі пропозиції обіцяють обговорити з киянами та людьми , які до цього часу перебувають на Майдані ."
text_548,"І цікаво , що , за словами Володимира Бондаренка , центр столиці може так і залишитися пішохідним ."
text_549,"Йдеться про частину Майдану Незалежності — від вулиці Городецького до Будинку профспілок — цей відрізок може стати місцем для прогулянок . Карий захмелів ще до того , як закінчив переглядати фотографії Антона ."
text_550,"До півночі він набрався так , що не зміг би знайти кнопку перемикання каналів на телевізійному пульті ."
text_551,"Він тримався до п’ятої вечора , але подітись було нікуди : Карий не міг постійно ховатись сам від себе , зрештою , не витримав і взявся напиватись , як ненормальний , спорожняючи все , що потрапляло під руку — віскі , горілку , бренді , пиво й мартіні ."
text_552,Порожні пляшки валялись по всій квартирі .
text_553,У Карого був фотоальбом із фотознімками сина .
text_554,"Справжній альбом , із паперовими фотографіями розміром 9 х 15 см , — як у давні добрі часи ."
text_555,"Все тому , що до початку літа 2007-го , коли через травму коліна його примусили написати рапорт і покинути лави підрозділу особливого призначення « Беркут » при Київському управлінні МВС , Карий не мав персонального комп’ютера — чоловік надавав перевагу телевізору , відтак знімки було збережено на фотопапері ."
text_556,"Згодом , придбавши свій перший ноутбук , Карий від звички не відмовився : продовжував друкувати всі без винятку , навіть відзняті на цифрову камеру , фотографії на фотопапері ."
text_557,"На початку 2012-го , за місяць до смерті Антона , альбом практично був заповненим : шашлики на дачі , перша рибалка з хлопчаком на озерах неподалік села Липовий Скиток за сорок кілометрів від Києва , а ось Карий учить чотирирічного Антона їздити на двоколісному велосипеді ..."
text_558,« Сьогодні малому стукнуло б сім » .
text_559,"До десятої вечора Карий передивився альбом з фотографіями померлого сина шість разів , після десятої альбом упав з канапи , а чоловік виявився настільки п’яним , що не зміг його підняти ."
text_560,"Сил вистачало тільки на те , щоб підносити пляшку до губів ."
text_561,"Були моменти , коли йому хотілось заплакати , він переконував себе , що сльози принесуть полегшення , от тільки плакати Карий не вмів ."
text_562,"Він напівлежав на канапі , сопів і стогнав , пускаючи ротом слину ."
text_563,"Часом стогони переходили в тихе гарчання . Карий згадував , як рівно рік тому Антон згас на його руках у лікарні , згорів , спопелів дотла , випалений вогнем із власного нутра , згадував , як він після того кидався на лікарів , але ніхто нічого не міг удіяти , і як кричав , що краще б його син узагалі не народжувався ."
text_564,"Краще взагалі нічого , ніж такий фінал . Сім років тому Карий подумати не міг , що здатен прив'язатися до когось . Бог свідок : він не планував заводити дітей . Антон з’явився на світ унаслідок швидкоплинного роману із сестрою іншого « беркутівця » , лейтенанта на прізвисько Турок ."
text_565,"Одружуватися Карий не мав наміру , але й послати лісом рідну сестру Турка не міг ."
text_566,"Робити аборт дівчина відмовилась ; зійшлись на тому , що Карий пообіцяв взяти на себе частину витрат з виховання дитини . Перший рік після народження Антона Карий усього два рази навідувався до сина , та й то лише для того , щоб віддати гроші його матері ."
text_567,"Все змінилося 31 травня 2007-го , коли рота « Беркута » розганяла фанатів на матчі « Динамо » — « Шахтар » ."
text_568,"Лупцюючи вболівальників , Карий захопився , вискочив з лави і , перечепившись через непритомну шістнадцятирічну дівчинку , яку за мить до цього огрів кийком по голові хтось із його колег , полетів сторчака , примудрившись ущент розтрощити колінну чашечку . 2 червня йому поставили протез , але про повноцінні тренування і службу в спецпідрозділі « Беркут » довелося забути ."
text_569,"Залишившись без роботи , Карий став більше уваги приділяти малому Антону ."
text_570,Нудьга — страшна штука .
